Loyalty_customer_No ,Loyalty_customer_Yes,Product_Category_Child_care,Product_Category_Cosmetics,Product_Category_Educational,Product_Category_Fashion,Product_Category_Home_decor,Product_Category_Hospitality,Product_Category_Organic,Product_Category_Pet_care,Product_Category_Repair,Product_Category_Technology,Stall_no,Market_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price
0,1,0,0,0,0,0,1,0,0,0,0,18.0,451,0,22,0.0,297.0,11.0,8289.0,11444.0,10148.914125
0,1,0,1,0,0,0,0,0,0,0,0,32.0,211,0,84,0.0,253.0,17.0,5176.0,7755.0,6632.585344
0,1,0,0,1,0,0,0,0,0,0,0,9.0,283,0,81,0.0,134.0,12.0,5673.0,9323.0,7530.9696
0,1,0,0,0,0,0,0,0,1,0,0,9.0,236,0,8,0.0,130.0,8.0,1266.0,8600.0,5066.443305
0,1,0,0,0,0,0,0,0,1,0,0,19.0,358,3,80,0.0,153.0,6.0,9673.0,15573.0,12495.939675
0,1,0,0,0,0,0,1,0,0,0,0,36.0,23,2,27,0.0,251.0,7.0,1077.0,2207.0,1889.414625
0,1,0,0,0,0,0,0,0,1,0,0,25.0,63,1,44,0.0,147.0,5.0,5824.0,8860.0,7444.716912000001
0,1,0,1,0,0,0,0,0,0,0,0,16.0,3,0,66,0.0,266.0,13.0,990.0,3013.0,2247.399
0,1,0,1,0,0,0,0,0,0,0,0,35.0,165,0,23,0.0,222.0,14.0,4818.0,7435.0,6341.1873
1,0,0,0,0,0,0,0,0,0,1,0,17.0,101,0,19,0.0,264.9522209387798,9.0,950.0,1580.0,1563.9835859999998
1,0,0,0,0,0,0,0,1,0,0,0,33.0,101,0,85,0.0,104.0,9.0,1179.0,1753.0,1548.692992
1,0,0,0,0,0,0,0,0,0,1,0,29.0,423,0,12,0.0,280.0,8.0,4843.0,8913.0,7162.78365
0,1,1,0,0,0,0,0,0,0,0,0,5.0,14,0,61,0.0,323.0,14.0,5682.0,6362.493309260833,7056.7299
1,0,0,0,0,0,1,0,0,0,0,0,8.0,451,0,45,0.0,262.0,13.0,4526.0,6800.0,5894.392896
0,1,0,0,0,0,0,0,0,1,0,0,25.0,11,3,85,1.0,166.0,7.0,558.0,1469.0,174.4822464
0,1,0,0,0,0,0,0,0,0,0,1,21.0,443,0,40,1.0,613.0,13.0,5658.0,8363.0,1119.13144125
0,1,0,0,1,0,0,0,0,0,0,0,40.0,24,0,88,1.0,170.0,16.0,7236.0,9829.0,1288.595616
0,1,1,0,0,0,0,0,0,0,0,0,27.0,358,3,71,0.0,310.0,8.0,4293.0,19849.0,12266.7534
0,1,0,0,0,0,0,1,0,0,0,0,23.0,443,0,34,1.0,339.0,5.0,5975.0,8226.0,1113.66635625
1,0,0,0,0,0,1,0,0,0,0,0,23.0,451,0,31,0.0,222.0,13.0,6057.0,7466.0,6974.809275
0,1,0,0,0,0,0,0,0,0,1,0,1.0,211,0,15,0.0,260.0,8.0,497.0,7855.0,4438.896065999999
1,0,0,0,0,0,0,0,0,0,0,1,37.0,23,2,31,0.0,521.0,7.0,4306.0,13430.0,9371.721975
0,1,0,0,0,1,0,0,0,0,0,0,24.0,58,1,55,0.0,374.0,17.0,3538.0,4756.0,4499.070479999999
0,1,0,0,0,0,0,0,0,0,1,0,36.0,62,0,71,1.0,251.0,1.0,1968.0,6703.0,681.159105
1,0,0,0,1,0,0,0,0,0,0,0,4.0,58,0,48,0.0,134.0,13.0,3218.0,4443.0,3944.075328
1,0,0,0,0,0,0,0,0,0,0,1,38.0,283,0,82,1.0,470.0,9.0,2371.0,6303.0,711.2434559999999
0,1,1,0,0,0,0,0,0,0,0,0,3.0,0,0,27,0.0,289.0,16.0,2368.0,4231.0,-3584.79555
0,1,0,0,0,1,0,0,0,0,0,0,39.0,55,0,31,0.0,374.0,16.0,1842.0,3179.0,2881.2987
0,1,0,0,0,1,0,0,0,0,0,0,42.0,58,0,57,0.0,363.0,11.0,7425.0,10250.0,9151.274592
0,1,0,1,0,0,0,0,0,0,0,0,5.0,469,0,46,0.0,252.0,13.0,7137.0,8866.0,8211.011040000001
0,1,0,0,0,0,0,0,0,1,0,0,41.0,350,3,69,0.0,158.0,10.0,6646.0,9290.0,8052.6303
1,0,0,0,0,0,0,0,0,0,0,1,30.0,469,0,14,0.0,477.0,8.0,3557.0,4742.0,4629.357018
1,0,0,0,0,0,0,0,0,1,0,0,14.0,1,0,41,1.0,136.0,3.0,3574.0,4756.0,641.20734
0,1,0,0,1,0,0,0,0,0,0,0,46.0,27,0,60,0.0,111.0,10.0,6659.0,9900.0,8209.80745
0,1,0,0,0,0,0,0,0,0,1,0,28.0,55,0,63,0.0,258.0,2.0,4440.0,6490.0,5666.8491
1,0,1,0,0,0,0,0,0,0,0,0,43.0,320,0,87,0.0,260.0,11.0,8257.0,15501.0,11977.080192
0,1,0,0,0,0,1,0,0,0,0,0,23.0,358,3,52,0.0,258.0,13.0,2120.0,15949.0,9244.692864
1,0,0,0,0,0,1,0,0,0,0,0,20.0,358,3,27,0.0,258.0,14.0,2486.0,14677.0,8829.381225
1,0,1,0,0,0,0,0,0,0,0,0,31.0,447,0,12,0.0,326.0,7.0,1587.0,4420.0,3331.26684
0,1,0,0,1,0,0,0,0,0,0,0,14.0,38,3,49,0.0,152.0,12.0,4198.0,8015.0,6225.728688
1,0,0,0,0,0,1,0,0,0,0,0,27.0,441,0,80,0.0,241.0,12.0,3020.0,4383.0,3858.13385
0,1,0,0,0,0,0,0,0,0,0,1,43.0,451,0,87,0.0,458.0,13.0,4724.0,6418.0,5949.318144
0,1,0,0,0,0,0,0,0,0,1,0,9.0,165,0,93,0.0,258.0,9.0,3662.0,5596.0,4820.737152000001
0,1,0,0,0,0,0,0,0,1,0,0,49.0,11,3,77,0.0,183.0,10.0,567.0,1309.0,1110.7206
0,1,0,0,0,0,0,0,1,0,0,0,22.0,423,0,6,0.0,101.0,6.0,5509.0,9435.0,7576.722252
1,0,0,0,0,0,0,0,1,0,0,0,12.0,358,3,21,0.0,105.0,8.0,2945.0,8553.0,5843.9535
0,1,0,0,0,0,0,0,0,0,0,1,24.0,58,1,39,0.0,646.0,10.0,3251.0,4273.0,4400.7306
0,1,0,1,0,0,0,0,0,0,0,0,10.0,14,0,80,0.0,248.0,15.0,3278.0,4593.0,4095.1385
1,0,0,0,0,0,0,0,0,0,0,1,13.0,235,2,64,0.0,587.0,10.0,3166.0,5807.0,5027.2101
0,1,0,1,0,0,0,0,0,0,0,0,29.0,55,0,95,0.0,214.0,12.0,4100.0,5368.0,4882.347008
0,1,0,0,0,0,1,0,0,0,0,0,21.0,85,2,89,1.0,240.0,15.0,1805.0,2627.0,363.5858688
0,1,0,1,0,0,0,0,0,0,0,0,7.0,358,3,31,0.0,264.9522209387798,10.254503560955174,9483.0,13644.0,11761.213275
0,1,0,0,0,1,0,0,0,0,0,0,12.0,3,0,32,0.0,369.0,14.0,1247.0,6362.493309260833,2632.572075
0,1,0,1,0,0,0,0,0,0,0,0,20.0,230,1,76,0.0,247.0,14.0,8227.0,10814.0,9683.0217
0,1,0,0,0,0,0,0,0,1,0,0,5.0,14,0,51,0.0,155.0,7.0,3339.0,4327.0,3965.139648
1,0,0,0,0,0,0,0,0,1,0,0,32.0,451,0,73,0.0,158.0,2.0,4795.0,6572.0,5784.2136
0,1,0,0,0,0,1,0,0,0,0,0,43.0,111,1,86,0.0,210.0,14.0,1129.0,3142.0,2314.671744
0,1,0,0,0,0,0,0,0,0,1,0,34.0,65,2,68,0.0,266.0,7.0,3271.0,5304.0,4510.935
0,1,1,0,0,0,0,0,0,0,0,0,17.0,23,1,70,0.0,295.0,16.0,2710.0,5516.0,4370.4342
0,1,1,0,0,0,0,0,0,0,0,0,50.0,103,1,17,0.0,328.0,10.254503560955174,3790.0,6945.0,5699.759967
1,0,0,1,0,0,0,0,0,0,0,0,45.0,0,0,45,1.0,230.0,17.0,1546.0,3162.0,385.71552
0,1,1,0,0,0,0,0,0,0,0,0,12.0,165,0,52,0.0,263.0,13.0,3514.0,5021.0,4507.0192799999995
1,0,0,0,0,0,0,0,0,1,0,0,19.0,24,0,75,0.0,104.0,9.0,8262.0,6362.493309260833,9766.1322
0,1,0,0,0,0,0,0,0,0,1,0,5.0,110,0,77,0.0,258.0,4.0,710.0,999.0,1101.7116
0,1,0,0,0,0,0,0,0,0,1,0,42.0,83,1,87,0.0,259.0,1.0,4480.0,9795.0,7290.690176000001
0,1,0,0,0,0,0,0,0,0,1,0,40.0,443,0,93,0.0,202.0,1.0,5708.0,7571.0,6743.632895999999
0,1,0,1,0,0,0,0,0,0,0,0,43.0,83,0,89,1.0,271.0,12.0,2284.0,14031.0,1247.5167935999998
1,0,0,0,1,0,0,0,0,0,0,0,16.0,14,0,7,1.0,173.0,7.0,3295.0,4992.0,647.845209
0,1,1,0,0,0,0,0,0,0,0,0,36.0,447,0,75,1.0,267.0,10.0,5231.0,8004.0,1023.3313199999999
1,0,0,1,0,0,0,0,0,0,0,0,28.0,58,0,12,0.0,212.0,12.0,3645.0,4612.0,4345.015455
0,1,1,0,0,0,0,0,0,0,0,0,1.0,93,2,48,1.0,273.0,6.0,4535.0,7531.0,940.3857648000001
1,0,0,0,0,0,0,0,0,0,1,0,18.0,275,0,79,0.0,254.0,5.0,4489.0,5929.0,5410.944
0,1,0,0,0,0,0,0,0,0,1,0,34.0,358,3,43,0.0,257.0,9.0,4505.0,14923.0,9915.869664
1,0,0,0,0,1,0,0,0,0,0,0,2.0,131,0,74,0.0,363.0,12.0,2085.0,6513.0,4620.4884
0,1,0,0,0,0,1,0,0,0,0,0,8.0,447,0,46,1.0,287.0,10.0,4568.0,6014.0,832.1335416000001
0,1,0,0,0,0,0,0,0,0,0,1,11.0,452,0,72,0.0,468.0,6.0,3067.0,4426.0,4174.5825
0,1,1,0,0,0,0,0,0,0,0,0,38.0,186,0,17,0.0,274.0,14.0,4487.0,8784.0,6918.098120999999
0,1,0,0,0,0,0,0,0,0,0,1,7.0,24,0,72,0.0,585.0,7.0,6559.0,9493.0,8530.4538
0,1,0,0,0,0,0,0,0,1,0,0,28.0,23,1,68,0.0,165.0,1.0,3582.0,5581.0,4699.4904
0,1,0,0,0,0,0,0,1,0,0,0,16.0,1,0,47,0.0,133.0,5.0,5230.0,7878.0,6647.462208
0,1,0,0,0,0,0,0,0,0,0,1,39.0,452,0,56,0.0,507.0,16.0,4139.0,5638.0,5368.738752
0,1,0,0,0,1,0,0,0,0,0,0,30.0,451,0,53,0.0,264.9522209387798,17.0,4627.0,6362.493309260833,5512.304016
0,1,0,0,0,0,0,1,0,0,0,0,30.0,205,0,9,0.0,259.0,13.0,3502.2932509015973,3224.0,2939.186052
0,1,0,0,1,0,0,0,0,0,0,0,22.0,60,3,17,0.0,148.0,17.0,247.0,1337.0,941.2558650000001
0,1,0,0,0,1,0,0,0,0,0,0,33.0,358,3,1,0.0,379.0,14.0,6796.0,12106.0,9842.245676999999
1,0,0,0,0,0,0,0,0,0,1,0,36.0,63,1,61,0.0,283.0,3.0,2006.0,11705.0,7069.1544
1,0,0,0,0,0,0,0,1,0,0,0,36.0,14,0,91,0.0,130.0,8.0,3724.0,4529.0,4198.45888
0,1,1,0,0,0,0,0,0,0,0,0,23.0,24,0,76,0.0,314.0,11.0,7017.0,10671.0,9076.0527
1,0,0,1,0,0,0,0,0,0,0,0,8.0,441,2,80,0.0,208.0,14.0,3617.0,5321.0,4577.88665
0,1,0,1,0,0,0,0,0,0,0,0,47.0,199,0,5,0.0,252.0,17.0,4071.0,7530.0,6061.753764
1,0,0,1,0,0,0,0,0,0,0,0,30.0,73,0,66,0.0,292.0,17.0,2231.0,3321.0,3041.9928
0,1,0,0,0,0,0,0,0,1,0,0,26.0,443,0,65,0.0,157.0,7.0,4871.0,6745.0,5909.3793
1,0,0,0,0,0,1,0,0,0,0,0,2.0,255,2,32,0.0,280.0,10.0,124.0,604.0,642.7491
0,1,0,0,0,0,0,0,0,1,0,0,24.0,13,3,28,0.0,188.0,7.0,365.0,2127.0,1431.282825
0,1,0,0,0,1,0,0,0,0,0,0,20.0,24,0,49,0.0,357.0,17.0,5764.0,7916.0,7162.4947680000005
0,1,1,0,0,0,0,0,0,0,0,0,4.0,0,0,43,1.0,342.0,9.0,8648.0,12706.0,1643.7040344
1,0,0,0,0,0,0,0,0,0,1,0,33.0,3,0,68,0.0,205.0,8.0,1693.0,2929.0,2492.6715
1,0,0,0,0,0,0,0,1,0,0,0,7.0,23,1,57,0.0,139.0,9.0,2587.0,4660.0,3741.6591359999998
0,1,0,1,0,0,0,0,0,0,0,0,23.0,320,0,38,0.0,233.0,14.0,2202.0,15805.0,9225.97725
0,1,0,0,0,0,0,1,0,0,0,0,46.0,447,0,23,0.0,325.0,9.0,2630.0,6362.493309260833,3526.551525
0,1,0,0,0,0,0,0,1,0,0,0,31.0,423,0,34,0.0,142.0,5.0,3291.0,8577.0,6063.772575
0,1,1,0,0,0,0,0,0,0,0,0,24.0,192,0,69,1.0,260.0,7.0,2219.0,6851.0,712.528245
1,0,0,0,0,0,1,0,0,0,0,0,45.0,407,0,86,0.0,208.0,11.0,3502.2932509015973,4378.0,3375.7095679999998
0,1,1,0,0,0,0,0,0,0,0,0,26.0,62,0,70,0.0,290.0,7.0,2895.0,12275.0,7801.5069
0,1,0,0,0,0,0,1,0,0,0,0,31.0,116,0,71,0.0,284.0,11.0,3354.0,4345.0,4096.3527
1,0,0,0,1,0,0,0,0,0,0,0,12.0,58,1,28,0.0,122.0,15.0,2745.0,4082.0,3531.76845
1,0,0,0,0,0,0,1,0,0,0,0,11.0,358,3,47,0.0,242.0,6.0,3781.0,13928.0,9043.558416
0,1,0,0,1,0,0,0,0,0,0,0,43.0,97,0,76,0.0,146.0,16.0,2552.0,6943.0,4852.089
1,0,0,0,0,1,0,0,0,0,0,0,29.0,14,0,82,0.0,398.0,17.0,3589.0,5164.0,4713.080064
1,0,0,1,0,0,0,0,0,0,0,0,49.0,24,0,7,0.0,235.0,16.0,5563.0,7986.0,7019.637965999999
0,1,0,0,0,0,1,0,0,0,0,0,4.0,55,0,97,0.0,253.0,16.0,838.0,2685.0,1988.270592
1,0,0,0,0,0,0,1,0,0,0,0,50.0,447,0,94,0.0,282.0,9.0,3220.0,4545.0,4107.970944
1,0,0,0,0,0,0,0,1,0,0,0,10.0,115,0,78,0.0,112.0,5.0,3170.0,4319.0,3819.7863
1,0,0,0,0,0,0,0,0,0,1,0,19.0,162,1,65,0.0,267.0,1.0,4224.0,5782.0,5217.795
1,0,0,0,0,0,0,0,0,1,0,0,33.0,14,0,90,0.0,130.0,2.0,4431.0,6362.493309260833,5398.200192
1,0,0,0,1,0,0,0,0,0,0,0,12.0,37,2,86,0.0,131.0,17.0,7426.0,10131.0,8795.908352
0,1,0,0,0,0,0,0,0,0,1,0,37.0,3,0,18,0.0,225.0,8.0,2303.0,3486.0,3121.507818
0,1,0,0,0,0,0,0,1,0,0,0,13.0,24,0,97,1.0,113.0,5.0,4272.0,5930.0,771.214752
0,1,0,0,0,0,0,0,0,0,0,1,3.0,113,0,46,0.0,465.0,7.0,1491.0,3778.0,3081.491424
1,0,0,0,1,0,0,0,0,0,0,0,19.0,100,0,66,0.0,127.0,6.0,1169.0,2825.0,2103.948
0,1,0,0,0,0,1,0,0,0,0,0,9.0,74,0,16,0.0,263.0,10.0,2847.0,6362.493309260833,3655.024461
1,0,0,0,0,1,0,0,0,0,0,0,11.0,3,0,19,0.0,379.0,13.0,2837.0,4190.0,3896.680293
0,1,1,0,0,0,0,0,0,0,0,0,30.0,57,0,2,0.0,255.0,16.0,5110.0,8108.0,6873.882543000001
0,1,0,0,0,0,0,0,0,1,0,0,11.0,24,0,1,0.0,169.0,10.0,6425.0,8983.0,7879.911929999999
0,1,0,0,0,1,0,0,0,0,0,0,21.0,57,0,12,0.0,372.0,11.0,2812.0,8121.0,5843.9255490000005
0,1,0,0,0,0,1,0,0,0,0,0,21.0,443,0,94,0.0,250.0,10.0,5692.0,8117.0,7058.27584
1,0,0,0,0,0,1,0,0,0,0,0,12.0,70,2,89,0.0,265.0,14.0,1419.0,4248.0,3057.794432
0,1,0,0,0,0,0,0,1,0,0,0,23.0,268,2,5,0.0,147.0,9.0,786.0,1934.0,1508.069178
0,1,1,0,0,0,0,0,0,0,0,0,28.0,58,0,86,0.0,273.0,15.0,5497.0,7865.0,6863.738112000001
0,1,0,0,0,0,1,0,0,0,0,0,6.0,451,0,84,0.0,217.0,15.0,5801.0,7990.0,7020.271104
0,1,0,1,0,0,0,0,0,0,0,0,11.0,9,3,12,0.0,297.0,14.0,5031.0,13343.0,9495.910314
0,1,0,0,0,0,0,0,0,0,1,0,5.0,444,1,69,1.0,216.0,5.0,5934.0,8806.0,1127.0674800000002
1,0,0,0,0,0,1,0,0,0,0,0,42.0,24,0,36,0.0,288.0,12.0,3771.0,4675.0,4504.779825
0,1,0,0,0,0,0,0,0,1,0,0,9.0,452,0,50,0.0,127.0,5.0,6107.0,8361.0,7317.486432
0,1,1,0,0,0,0,0,0,0,0,0,5.0,3,0,47,0.0,330.0,7.0,4106.0,5371.0,5039.360352000001
0,1,0,0,0,0,0,0,0,0,1,0,16.0,146,2,68,0.0,250.0,5.0,3502.2932509015973,6362.493309260833,2079.9207
1,0,0,1,0,0,0,0,0,0,0,0,20.0,204,0,60,0.0,252.0,15.0,4237.0,6587.0,5544.4973
0,1,0,0,0,0,0,0,0,0,0,1,25.0,452,0,30,0.0,642.0,10.254503560955174,6251.0,8802.0,8157.086175
0,1,0,1,0,0,0,0,0,0,0,0,42.0,103,0,66,0.0,253.0,14.0,10560.0,16382.0,13605.4314
0,1,0,0,0,0,1,0,0,0,0,0,34.0,452,0,58,1.0,253.0,10.0,3625.0,5198.0,695.8543463999999
1,0,0,1,0,0,0,0,0,0,0,0,2.0,23,2,12,1.0,274.0,12.0,1168.0,4122.0,438.28166745
0,1,0,1,0,0,0,0,0,0,0,0,26.0,367,0,78,0.0,204.0,15.0,2592.0,6362.493309260833,3657.2877
0,1,0,0,0,0,0,0,0,1,0,0,18.0,114,0,21,0.0,174.0,10.0,840.0,3524.0,2352.28455
0,1,0,0,0,0,1,0,0,0,0,0,46.0,73,0,5,0.0,221.0,17.0,2843.0,4289.0,3792.6806939999997
1,0,1,0,0,0,0,0,0,0,0,0,7.0,24,0,99,0.0,257.0,7.0,4573.0,6063.0,5498.386432
1,0,0,0,0,0,1,0,0,0,0,0,35.0,55,0,30,0.0,258.0,15.0,4460.0,6441.0,5702.3883
0,1,0,1,0,0,0,0,0,0,0,0,1.0,83,0,5,0.0,247.0,14.0,1833.0,9337.0,5839.236018
0,1,0,0,0,0,0,0,0,0,0,1,9.0,13,3,5,0.0,640.0,9.0,312.0,2102.0,1847.905191
0,1,0,1,0,0,0,0,0,0,0,0,3.0,268,0,16,0.0,287.0,15.0,1506.0,3896.0,2991.750795
0,1,0,0,1,0,0,0,0,0,0,0,6.0,79,0,24,0.0,100.0,5.0,1317.0,1907.0,1708.527975
0,1,0,0,0,0,0,0,1,0,0,0,15.0,268,0,1,0.0,113.0,6.0,1732.0,3234.0,2597.230251
0,1,0,0,0,1,0,0,0,0,0,0,39.0,23,0,72,0.0,356.0,14.0,4533.0,7840.0,6485.6484
1,0,0,0,0,0,0,1,0,0,0,0,40.0,1,0,79,1.0,209.0,8.0,1333.0,5013.0,502.60419
1,0,0,0,0,0,0,1,0,0,0,0,13.0,58,0,29,0.0,349.0,12.0,4071.0,5621.0,5187.81795
0,1,0,0,0,0,0,0,1,0,0,0,29.0,80,2,27,0.0,110.0,7.0,6211.0,11544.0,8971.225725
0,1,0,1,0,0,0,0,0,0,0,0,9.0,469,0,60,0.0,259.0,17.0,4355.0,6362.493309260833,5253.26095
0,1,0,0,0,0,0,0,0,1,0,0,22.0,24,0,77,0.0,119.0,6.0,6381.0,9533.0,7999.9623
1,0,0,0,0,1,0,0,0,0,0,0,39.0,70,2,98,0.0,264.9522209387798,16.0,3225.0,5287.0,4592.708736
0,1,0,1,0,0,0,0,0,0,0,0,27.0,443,0,56,0.0,206.0,15.0,2761.0,3963.0,3550.1725439999996
1,0,0,0,0,0,0,0,0,1,0,0,45.0,451,0,32,0.0,166.0,9.0,6068.0,8070.0,7223.2566
0,1,0,0,1,0,0,0,0,0,0,0,20.0,121,0,98,0.0,130.0,8.0,1193.0,3728.0,2555.138432
0,1,0,0,0,1,0,0,0,0,0,0,33.0,39,3,16,0.0,363.0,12.0,2978.0,5626.0,4669.692984
1,0,0,0,0,0,0,0,1,0,0,0,28.0,445,0,85,0.0,148.0,8.0,7184.0,9732.0,8488.746112
1,0,0,0,0,1,0,0,0,0,0,0,25.0,459,0,64,0.0,355.0,12.0,6050.0,9081.0,7850.2842
1,0,0,0,1,0,0,0,0,0,0,0,21.0,1,0,12,0.0,100.0,17.0,1515.0,5353.0,3539.486016
0,1,0,0,0,0,0,0,1,0,0,0,5.0,70,2,74,0.0,143.0,7.0,1305.0,5650.0,3586.7007
0,1,0,0,0,0,0,0,1,0,0,0,41.0,463,0,56,0.0,136.0,7.0,1571.0,3392.0,2602.476864
1,0,0,0,0,0,0,1,0,0,0,0,43.0,70,2,96,0.0,225.0,12.0,5761.0,11896.0,8933.567104000002
1,0,0,0,0,0,1,0,0,0,0,0,8.0,443,0,29,0.0,299.0,14.0,3582.0,4898.0,4533.57765
0,1,0,0,0,0,0,1,0,0,0,0,43.0,55,0,7,1.0,329.0,11.0,2428.0,5936.0,677.2722660000001
0,1,0,1,0,0,0,0,0,0,0,0,30.0,454,0,77,0.0,209.0,12.0,2621.0,5024.0,3995.7291
1,0,0,0,0,1,0,0,0,0,0,0,34.0,358,3,10,0.0,353.0,12.0,1758.0,6758.0,4615.648389
0,1,0,0,0,0,1,0,0,0,0,0,50.0,141,0,5,0.0,205.0,13.0,4444.0,5511.0,5188.451103
1,0,0,0,0,0,0,1,0,0,0,0,16.0,57,0,91,0.0,307.0,8.0,3467.0,5324.0,4638.253312
1,0,0,0,0,0,0,1,0,0,0,0,46.0,452,0,57,0.0,335.0,11.0,4545.0,5540.0,5348.59848
0,1,0,0,0,1,0,0,0,0,0,0,6.0,38,3,90,0.0,367.0,15.0,4420.0,11059.0,8001.209215999999
1,0,0,0,0,0,0,1,0,0,0,0,21.0,9,3,47,0.0,253.0,8.0,7258.0,11265.0,9460.969776
1,0,0,0,0,0,0,0,0,0,1,0,4.0,452,0,73,0.0,217.0,6.0,7001.0,9569.0,8421.9003
0,1,0,0,0,0,0,0,0,0,0,1,24.0,74,0,45,0.0,536.0,12.0,8653.0,11277.0,10445.677056
1,0,0,1,0,0,0,0,0,0,0,0,42.0,3,0,64,1.0,239.0,14.0,3830.0,6169.0,778.95675
0,1,0,0,0,1,0,0,0,0,0,0,24.0,165,0,50,0.0,264.9522209387798,16.0,3396.0,6362.493309260833,4405.085856000001
0,1,0,0,0,0,0,0,0,0,1,0,40.0,358,3,66,0.0,263.0,3.0,4223.0,13603.0,9086.8833
1,0,0,0,0,1,0,0,0,0,0,0,24.0,55,0,1,0.0,395.0,17.0,979.0,2792.0,2283.481629
0,1,0,0,0,0,0,0,1,0,0,0,24.0,358,3,28,0.0,133.0,6.0,4081.0,14589.0,9449.916
1,0,0,0,0,0,0,0,0,0,1,0,45.0,216,0,6,0.0,289.0,1.0,261.0,488.0,663.473646
0,1,0,1,0,0,0,0,0,0,0,0,35.0,93,2,42,0.0,287.0,13.0,4445.0,6362.493309260833,6360.470784
0,1,0,0,0,0,0,0,0,1,0,0,37.0,113,0,84,0.0,150.0,7.0,3543.0,13427.0,8516.510464
1,0,0,0,0,0,1,0,0,0,0,0,1.0,367,2,77,0.0,290.0,13.0,3024.0,6832.0,5172.1659
0,1,0,0,0,0,0,0,0,1,0,0,15.0,3,0,29,0.0,182.0,8.0,1682.0,2689.0,2363.326875
0,1,0,0,0,0,0,0,0,0,1,0,46.0,452,0,46,0.0,253.0,6.0,4121.0,6150.0,5357.073888
1,0,0,0,0,0,0,0,1,0,0,0,27.0,100,0,82,1.0,122.0,6.0,3029.0,4191.0,552.0596928
0,1,0,0,0,0,0,0,0,1,0,0,36.0,121,0,25,0.0,108.0,4.0,1237.0,3783.0,2612.4525
