Relationship_Status_Married,Relationship_Status_Single,Hometown_Clinton,Hometown_Franklin,Hometown_Lebanon,Hometown_Springfield,Hometown_Washington,Unit_Accounting and Finance,Unit_Human Resource Management,Unit_IT,Unit_Logistics,Unit_Marketing,Unit_Operarions,Unit_Production,Unit_Purchasing,Unit_Quality,Unit_R&D,Unit_Sales,Unit_Security,Decision_skill_possess_Analytical,Decision_skill_possess_Behavioral,Decision_skill_possess_Conceptual,Decision_skill_possess_Directive,Compensation_and_Benefits_type0,Compensation_and_Benefits_type1,Compensation_and_Benefits_type2,Compensation_and_Benefits_type3,Compensation_and_Benefits_type4,Gender,Age,Education_Level,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,VAR1,VAR3,VAR5,VAR6,VAR7,Attrition_rate
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,19.0,3,0.0,0,74,0,2,9.0,3.0,3,1.8688,4,6,3,0.0318
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,39.675506523814576,3,0.0,0,32,1,2,6.0,2.0,3,-1.615,3,8,3,0.1331
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,65.0,4,35.0,1,58,0,3,4.0,2.0,3,0.7075,3,5,3,0.0671
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,40.0,4,12.0,1,45,1,3,9.0,2.0,3,-0.4537,5,8,4,0.1468
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,33.0,3,9.0,1,39,1,2,5.0,1.0,3,0.7075,3,8,3,0.056
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32.0,3,7.0,4,44,0,4,5.0,1.0,3,0.7075,1,5,4,0.6409999999999999
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,22.0,4,3.0,1,53,0,4,6.0,3.0,3,-0.4537,2,7,4,0.1095
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,25.0,3,6.0,3,53,1,2,6.0,1.0,3,0.7075,3,8,4,0.0462
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,65.0,1,33.0,2,30,0,3,7.0,2.0,3,0.7075,3,6,3,0.1708
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,31.0,4,6.0,4,39,1,3,8.0,1.0,3,0.7075,3,5,3,0.2704
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,24.0,5,5.0,1,52,0,3,8.0,2.0,3,-0.4537,3,8,5,0.1742
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,39.675506523814576,2,15.0,1,58,1,3,3.0,1.0,3,-0.4537,4,8,2,0.8727
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,47.0,4,21.0,1,34,1,3,8.0,4.0,4,0.7075,3,5,2,0.2269
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,28.0,3,13.390656874745002,1,58,0,4,8.0,1.0,3,0.7075,3,8,3,0.6272
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,45.0,3,15.0,4,60,0,2,9.0,2.0,3,-0.4537,1,7,5,0.0326
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,34.0,3,6.0,1,29,0,4,7.0,3.0,3,-0.4537,2,8,3,0.273
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,24.0,4,5.0,4,55,0,1,8.0,3.0,4,0.7075,3,5,3,0.0021
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,54.0,3,28.0,1,71,2,3,5.0,3.0,4,-0.4537,2,8,5,0.0647
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,54.0,1,30.0,3,22,0,1,5.0,2.0,3,-0.4537,4,7,3,0.0447
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,55.0,3,33.0,4,66,0,5,7.0,4.0,3,-0.4537,2,6,3,0.2307
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,19.0,5,0.0,0,39,2,3,4.0,4.0,3,-0.4537,2,8,3,0.2637
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,46.0,3,10.0,2,31,0,2,9.0,1.0,3,0.7075,1,8,3,0.0759
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,28.0,3,6.0,3,38,2,1,5.0,2.0,3,0.7075,3,9,3,0.2161
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,54.0,3,26.0,2,27,2,4,8.0,2.0,3,-0.4537,3,8,3,0.4617
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,33.0,3,9.0,3,72,0,1,10.0,2.0,2,-0.4537,2,7,3,0.6961
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,30.0,3,7.0,3,33,0,2,6.0,1.0,1,0.7075,4,7,3,0.2656
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,39.675506523814576,2,4.0,1,72,2,5,6.0,2.0,3,0.7075,5,6,2,0.0618
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,43.0,4,12.0,4,50,2,5,5.0,4.0,3,-0.4537,4,8,3,0.1983
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30.0,4,6.0,1,46,1,1,6.0,4.0,2,0.7075,4,8,4,0.2744
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,39.675506523814576,3,19.0,3,51,1,2,4.0,2.0,5,1.8688,3,8,3,0.1571
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,24.0,3,5.0,1,20,1,4,7.0,2.0,4,0.7075,4,6,3,0.0088
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,39.0,3,14.0,4,67,1,5,5.0,1.0,3,0.7075,3,6,3,0.0882
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,27.0,4,3.0,3,68,0,4,6.0,4.0,4,-0.4537,3,8,5,0.2711
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,34.0,4,10.0,2,67,0,3,9.0,2.0,3,-0.4537,1,7,1,0.1519
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,57.0,1,35.0,3,37,1,3,2.0,1.0,4,0.7075,2,6,3,0.1593
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,31.0,4,4.0,2,48,0,5,4.0,1.0,1,0.7075,3,8,3,0.23
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,54.0,3,27.0,4,27,0,1,5.0,2.0,3,-0.4537,3,6,4,0.0672
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,51.0,3,27.0,2,63,1,2,6.0,3.0,3,-1.615,4,8,3,0.046
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,41.0,4,18.0,1,64,0,2,5.0,4.0,3,-0.4537,2,8,4,0.1008
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,28.0,4,6.0,1,22,1,3,7.0,1.0,3,1.8688,3,7,3,0.0871
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,39.675506523814576,4,24.0,4,52,0,2,5.0,3.0,3,-0.4537,3,9,4,0.0449
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,37.0,3,10.0,2,66,1,4,5.0,2.0,3,-2.7762,2,5,4,0.1544
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,60.0,3,27.0,3,38,1,3,4.0,1.0,2,-0.4537,1,8,3,0.0068
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,24.0,4,13.390656874745002,4,22,0,3,6.0,2.0,4,-0.4537,3,8,5,0.2197
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,54.0,1,23.0,2,29,2,1,6.0,1.0,3,-0.4537,4,6,4,0.1379
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,50.0,4,27.0,1,54,0,3,7.0,4.0,3,-0.4537,3,7,5,0.2384
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,54.0,1,15.0,2,27,0,3,6.0,2.0,3,0.7075,4,8,3,0.1313
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,34.0,2,12.0,2,23,2,1,5.0,1.0,3,-0.4537,5,5,3,0.042
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,56.0,1,20.0,3,47,1,5,5.0,1.0,3,-0.4537,2,8,3,0.1675
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,37.0,4,12.0,4,59,1,2,4.0,3.0,3,0.7075,3,8,3,0.9262
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,58.0,4,22.0,3,59,0,3,4.0,2.0,3,-0.4537,2,6,5,0.1291
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,28.0,5,5.0,3,71,1,2,5.0,1.0,4,-0.4537,3,8,3,0.1577
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,32.0,5,6.0,4,57,1,4,5.0,3.0,1,0.7075,2,5,3,0.0645
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,44.0,5,8.0,1,52,0,3,3.0,3.0,3,0.7075,1,8,4,0.1883
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,49.0,3,21.0,2,46,0,2,8.0,1.0,2,-0.4537,4,7,3,0.255
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,51.0,5,13.0,4,63,1,2,5.0,4.0,3,-0.4537,2,7,3,0.472
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,54.0,3,15.0,4,51,0,2,8.0,3.0,4,-0.4537,5,7,3,0.1183
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,54.0,2,19.0,1,72,1,2,5.0,3.0,4,0.7075,4,8,4,0.0026
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,60.0,3,21.0,2,29,0,4,5.0,2.0,3,1.8688,3,7,3,0.1475
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,36.0,3,9.0,4,61,1,5,4.0,4.0,3,-2.7762,3,8,4,0.1746
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,26.0,1,4.0,2,43,1,1,8.0,1.0,2,-1.615,4,7,3,0.1136
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,29.0,2,5.0,4,32,0,3,6.0,3.0,3,0.7075,4,8,4,0.0386
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,42.0,3,12.0,2,69,1,3,3.0,5.0,3,0.7075,3,6,3,0.4098
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,30.0,3,8.0,3,58,1,3,6.0,1.0,3,1.8688,2,8,3,0.0059
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42.0,4,10.0,3,40,0,5,7.0,1.0,3,1.8688,3,7,5,0.08900000000000001
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,65.0,1,32.0,1,72,0,3,5.0,3.0,4,-0.4537,4,6,5,0.2695
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,50.0,5,18.0,2,59,2,3,7.0,2.0,3,-0.4537,3,8,4,0.1526
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,24.0,2,5.0,2,38,1,2,8.0,3.0,3,0.7075,3,8,3,0.4841
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,45.0,4,11.0,2,39,1,4,9.0,3.0,3,-0.4537,2,8,4,0.0578
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,46.0,5,7.0,3,50,0,3,3.0,1.0,3,-1.615,3,8,3,0.0634
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,25.0,5,6.0,3,70,0,5,4.0,1.0,3,0.7075,3,7,2,0.1431
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,23.0,3,4.0,3,24,1,1,5.0,1.0,5,0.7075,4,8,3,0.4611
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,20.0,3,1.0,1,23,1,3,8.0,4.0,3,0.7075,3,8,3,0.284
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,58.0,4,29.0,3,57,1,3,9.0,2.0,3,1.8688,4,8,3,0.1482
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,60.0,4,23.0,4,33,1,4,8.0,3.0,1,0.7075,3,6,5,0.1993
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,22.0,1,3.0,2,34,2,1,7.0,2.0,3,-0.4537,2,8,2,0.1031
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,20.0,3,1.0,1,67,2,2,4.0,3.0,4,-0.4537,3,8,3,0.2388
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,59.0,3,28.0,2,20,1,1,4.0,1.0,4,-0.4537,1,5,3,0.6453
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,47.0,3,24.0,1,67,1,1,1.0,3.0,3,-1.615,3,8,3,0.1186
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,53.0,3,30.0,2,33,1,2,7.0,1.0,3,-0.4537,4,7,3,0.2676
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,36.0,4,13.0,1,28,0,4,6.0,1.0,1,-0.4537,4,6,5,0.094
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,35.0,3,6.0,3,66,1,3,6.0,2.0,3,-0.4537,1,7,2,0.0363
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,22.0,5,13.390656874745002,1,61,1,2,4.0,1.0,1,-0.4537,2,5,5,0.035
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,39.675506523814576,4,19.0,4,27,1,3,5.0,4.0,4,-0.4537,2,5,3,0.0163
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,35.0,4,13.0,4,49,1,2,6.0,4.0,3,0.7075,3,8,3,0.1629
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,39.0,3,13.0,2,59,2,3,5.0,5.0,2,0.7075,2,8,5,0.058
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,31.0,3,4.0,3,55,2,5,7.0,1.0,3,0.7075,1,5,3,0.1529
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,39.675506523814576,4,3.0,2,36,0,3,5.0,2.0,4,0.7075,3,5,3,0.1309
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,44.0,3,16.0,1,50,2,3,8.0,4.0,3,1.8688,3,7,4,0.1956
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,24.0,3,5.0,4,60,1,2,6.0,2.0,3,0.7075,2,7,5,0.0344
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,25.0,1,13.390656874745002,4,68,0,4,8.0,2.0,3,-0.4537,2,8,5,0.2396
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,32.0,3,4.0,4,38,1,5,7.0,4.0,4,-0.4537,2,6,2,0.1938
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,32.0,3,10.0,3,62,1,2,4.0,3.0,3,-0.4537,2,7,3,0.1589
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,21.0,3,2.0,2,33,2,3,6.0,2.0,3,-0.4537,4,8,4,0.1826
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,31.0,2,3.0,2,73,1,4,4.0,3.0,4,-0.4537,3,5,4,0.7367
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,51.0,4,25.0,4,65,1,3,7.0,3.0,3,-0.4537,2,8,4,0.1293
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,37.0,3,9.0,2,56,2,5,8.0,2.0,3,1.8688,4,6,4,0.1212
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30.0,5,6.0,3,49,0,4,5.0,4.0,2,-0.4537,4,5,5,0.6957
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,27.0,3,3.0,1,63,0,3,8.0,3.0,3,1.8688,2,6,5,0.2334
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,36.0,2,14.0,4,57,0,2,7.0,3.0,3,0.7075,3,6,3,0.0151
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,27.0,3,3.0,1,29,2,4,5.0,3.0,3,1.8688,3,8,3,0.0213
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,59.0,4,22.0,4,49,1,3,7.0,3.0,4,-1.615,3,7,4,0.2573
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,39.675506523814576,2,5.0,3,47,0,1,6.0,1.0,3,0.7075,4,6,3,0.2365
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,65.0,3,36.0,4,63,1,3,6.0,1.0,4,0.7075,4,8,3,0.2514
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,45.0,3,14.0,3,72,1,2,4.0,1.0,2,0.7075,1,7,2,0.1657
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,24.0,2,5.0,3,33,0,3,8.0,3.0,3,0.7075,4,9,4,0.4422
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,28.0,3,5.0,1,53,1,3,6.0,3.0,3,0.7075,2,9,5,0.235
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54.0,5,21.0,4,57,1,5,9.0,2.0,3,-1.615,4,5,3,0.004
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,42.0,4,7.0,2,60,1,1,4.0,2.0,4,-0.4537,3,5,3,0.5882
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,59.0,3,30.0,1,55,0,2,4.0,2.0,3,0.7075,4,7,3,0.2572
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,56.0,5,21.0,3,69,1,2,4.0,3.0,3,0.7075,4,7,3,0.0012
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,31.0,4,9.0,3,62,0,2,8.0,1.0,4,-0.4537,4,7,3,0.0226
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,37.0,3,12.0,1,55,0,3,3.0,4.0,3,-0.4537,2,7,3,0.1409
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,41.0,3,11.0,4,61,1,1,4.0,3.0,3,0.7075,2,8,3,0.14
